method,NMI,ARI,modularity,num_communities,runtime_seconds,stability_pairwise_NMI,refinement_candidates,communities_refined,labeled_nodes
Baseline Louvain,0.6099111055457731,0.3489059788795326,0.4146556399216382,8,0.05787205696105957,0.8246689057963708,,,986
CASR,0.5994561708596453,0.32759969654916316,0.414649499688621,8,1.2998802661895752,0.941700191512917,2.0,0.0,986
